ID,LONGITUDE,LATITUDE,NAME_ENG
1142,40.155029,34.370645,Substation T2
1143,36.320801,35.648369,Zyzoun PP
1144,40.847168,36.129002,Tel Hamis Sub
1145,36.35376,35.746512,Zyzoun
1146,35.826416,35.612651,Skobeen
1147,36.35376,35.272532,Salhab
1148,37.012939,36.368222,Hretan
1149,36.188965,33.431441,Forsan
1150,36.210938,32.694866,Garyiah W
1151,36.870117,34.470335,Jander Power Plant
1152,36.617432,34.660322,Qatteneh
1153,38.979492,35.969115,Raqqa 1
1154,38.562012,35.85344,Thawra
1155,35.90332,34.894942,Tartous
1156,35.980225,35.164828,Banias Power Plant
1157,35.980225,35.398006,Jableh
1158,35.826416,35.514343,Latakia
7601,7.63549799999999,36.721274,
7602,7.51407360651618,36.4206251875124,
1159,36.760254,34.723555,Ferrouzeh
1160,36.749268,35.173808,Hama 1
1161,36.584473,35.263562,Mehrade Power Plant / Sub
1162,36.661377,34.957995,Zara PP
1163,36.573486,32.667125,Sweida
1164,36.112061,32.583849,Daraa
1165,36.177979,32.833443,Cheick Meskeen
2,43.7146,36.129002,Irbil North
1166,36.254883,33.330528,Kisweh
1167,36.705322,33.568861,Adra NE -  Ind. 1
3,43.967285,35.46067,Tamem
1168,36.77124,33.806538,Nasrieh
4,44.813232,31.456782,An Nasirriyah
5,43.967285,32.184911,Karbala
1169,36.320801,33.26625,Deir Ali Power Plant / Sub
6,44.01123,32.704111,Mussaib
7,44.439697,33.449777,Bagdad South
8,44.219971,33.806538,Bagdad North
1170,40.770264,36.456636,Hasakeh
9,44.494629,33.715202,Bagdad East
1171,41.187744,36.967449,Qamishly
10,44.088135,33.669497,Bagdad West
1172,38.276367,34.569906,Palmera
11,45.20874,32.42634,Al Kut
16,48.153076,42.032974,Derbent
1173,36.551514,33.614619,Adra
17,48.88916,41.211722,Khachmas
18,44.472656,38.030786,Khoy
1174,36.331787,33.578015,Mazara
19,43.758545,39.078908,Agri
1175,36.298828,33.422272,Sbeneh N (M2)
7603,7.9761053553417,36.6945543261351,
20,43.725586,37.848833,Baskale
1176,36.606445,36.013561,Idlib
21,44.088135,39.707187,Igdir
1177,37.353516,36.173357,F
22,48.482666,41.828642,Belidzhi
1178,37.012939,36.261992,H
23,44.813232,39.172659,Babak
1179,40.100098,35.335293,Deir Al Zoor 1
24,44.527588,38.728376,Bazargan
1180,40.045166,35.245619,Taiym
1181,-8.82202099999999,38.582526,Palmela
25,44.099121,38.942321,D.Beyazit
1182,40.682373,34.741612,Dwear
1183,38.078613,36.013561,Maskanah E
26,48.702393,41.599013,unknown
1184,38.17749,36.377068,Tshreen PP
27,44.055176,40.838749,unknown
1185,38.265381,36.279707,Tshreen
28,10.140381,36.73008,Tunis
1186,38.012695,36.093499,Maskanah W
1187,37.353516,36.332828,Inds. 1
29,35.046387,32.500496,unknown
1188,37.155762,36.315125,B
30,8.492432,40.522151,Ittiri
1189,36.694336,35.666222,Maarat an-Numan NE
7564,-0.977046660853815,37.9617462863245,
1190,38.858643,36.368222,Mabroka
7565,-0.76904300000001,39.436193,
1191,36.914062,36.049099,Aleppo W
7566,-0.296630999999993,40.195659,
1788,2.49389600000001,39.563353,Santa Ponsa
31,15.249023,30.836215, 
32,43.26416,35.995785,Mosul
1192,42.121582,36.949892,Swedieh PP
33,42.758789,36.332828,Saddam Dam
1193,35.947266,35.585852,Latakia E
34,43.406982,35.083956,Baji
1194,36.68335,33.413102,Tishren PP
1195,38.781738,35.826721,Baath Power Plant / Sub
35,42.1875,34.397845,Qaim
1196,36.276855,32.147711,Dhuliel
1197,36.057129,32.333559,Rehab
36,42.868652,34.615127,Qadessiya
1198,38.199463,32.49123,Ruwished
1199,36.013184,31.222197,Qatrana SW
42,35.36499,32.481963,Jenin
1200,35.079346,29.726222,Aqaba N A2
43,35.079346,32.333559,Tul karm
1201,36.134033,29.926374,Shedia
1202,35.727539,30.211608,Ma'an
46,34.760742,31.147006,Beer Sheva
1203,35.299072,29.716681,Quweira
1204,35.068359,29.391748,Aqaba Power Plant
47,35.310059,30.892797,Sdom
1205,35.727539,31.17521,Karak E
48,34.936523,29.52567,Eilat
1206,35.518799,31.090574,Safi N PP
49,34.562988,31.681433,Ashkelon
1207,36.123047,31.334871,Cement Factory Sub
1208,35.881348,31.830899,Amman South
51,34.727783,31.961484,Ashdod
53,34.94751,32.639375,Hadera
1209,36.079102,31.896214,Amman East
1210,36.02417,31.812229,Sahab
1211,39.012451,32.574592,El-Risha Power Plant / SUb
55,34.881592,32.194209,Tel-Aviv
1212,35.870361,32.537552,Irbid
57,35.134277,32.898038,Zvulun
1213,36.474609,32.259265,Sahab
64,35.441895,32.98102,Tiberias
1214,36.760254,31.868228,Azraq
1215,36.23291,31.961484,Al Zarqa SE
65,38.913574,23.513626,Rabigh
1216,36.14502,32.073266,Al Zarqa
1217,35.947266,31.718822,Alia Airport
66,37.540283,24.786735,Yanbo SWCC
1218,35.584717,31.690782,Suwemeh
67,38.891602,24.437148,Musajeed
1219,35.90332,31.980123,Tareq
1220,35.958252,32.03602,Amman North
68,39.572754,24.407138,Al Munwwarah
1221,36.452637,31.728167,Al Haratha
72,40.155029,22.136532,unknown
1222,37.122803,32.194209,Safawi
1223,35.782471,31.690782,Madaba
73,39.715576,21.983801,Jeddah
1224,36.02417,32.49123,Hassan Ind.
77,39.287109,22.968509,Ipp
7604,7.91065738606274,36.6901069138225,
1225,36.199951,32.203505,Samra PP
79,40.495605,27.955591,Hail
1226,9.854736,37.256566,Bizerte
7567,21.7180373235039,42.03323513796,
1227,10.986328,35.415915,Ksour Essef
7568,22.0618967750988,42.0336041748748,
1228,9.12963899999999,35.227672,Sufetula
80,39.638672,24.77676,Al Madina
1229,9.25048800000001,36.456636,Teboursouk
1230,41.495361,36.81808,Tel Hamees
83,39.506836,24.716895,Al Madina
1231,40.946045,36.571424,Al Bouab
1232,40.704346,36.049099,Ash Shaddadi
84,39.385986,23.875792,Wadi Al Fara
1233,40.759277,34.822823,Surat Hafayir
86,39.880371,22.755921,Khulais
1234,36.68335,32.49123,Salkhad
1235,36.386719,33.477272,Zahra
1236,-7.426758,38.195022,Alqueva
87,40.023193,22.08564,unknown
1237,37.705078,34.542762,At Tiace
1238,35.024414,29.573457,A2
88,39.726562,21.667639,Shoaibah
1239,35.639648,30.675715,Rashadiya
1240,36.123047,31.793555,Mwaqar
89,39.748535,22.156883,unknown
1241,36.02417,30.836215,Hasa
90,39.715576,22.278931,unknown
1242,31.376953,22.71539,Islah S
91,39.649658,22.23826,unknown
1243,31.311035,22.624152,Islah S2
92,39.715576,22.03473,Jeddah
1244,31.530762,22.988738,Toskha N
93,40.187988,21.851302,unknown
94,40.297852,22.09582,Makkah
95,40.407715,21.943046,Al Mukarramah
7605,7.481689,36.438961,
96,40.462646,21.71868,Taif
7606,4.3188394101187,36.535027067795,
106,33.09082,35.110922,Orounda
1245,32.937012,26.02717,Naaga El Shaikh Abou Azouz
1246,34.398193,28.042895,Nabq South
107,33.486328,35.110922,Athalassa
1247,35.705566,32.138409,Subeihi
108,33.321533,35.038992,Tseri
1248,35.661621,32.546813,Waquas
109,33.387451,34.921971,Alambra
1249,35.749512,32.054645,Salt
110,33.497314,34.903953,FIZ
1250,35.782471,32.361403,Ishtafina
111,33.618164,34.939985,Larnaca
1251,36.013184,31.905541,Al Manara
112,34.046631,35.029996,Protaras
1252,8.69018599999999,35.746512,Cimenterie oum Elklil
1253,36.760254,35.012002,Hama 2
113,33.024902,34.660322,Polemidhia
114,32.607422,34.723555,Anatoliko
1254,36.298828,33.669497,Al Tal
115,33.21167,34.732584,Moni P.S.
1255,36.419678,33.614619,K2
1256,37.276611,36.235412,Saka
116,33.376465,34.759666,Vasilikos P.S.
1257,37.188721,36.22655,A
1258,36.419678,35.924645,Idlib 2
