ID,BUS_ID,CIRCUITS,DC,LENGTH_M,SHAPE_LENG,SYMBOL,T9_CODE,UNDERGROUND,VISIBLE,VOLTAGE
980,962,1,False,130400.273355182,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
967,964,1,False,36512.1237875906,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1350,965,1,False,11209.8812905794,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1456,970,1,False,10948.4549634263,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1458,970,1,False,14052.5383073684,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1019,971,1,False,6799.08494367423,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1005,972,1,False,12215.2365176187,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1360,972,1,False,60183.7477600816,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1182,973,1,False,138895.395941381,0,"380-400 kV Transmission Line, 1 Circuit", ,False,1.0,380
1036,974,1,False,82881.0969273041,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1358,974,1,False,16088.7739957837,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1003,976,1,False,138842.654476944,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1027,976,2,False,39728.7304649287,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
1323,978,1,False,71370.9629053684,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1460,979,1,False,48262.7919880354,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
962,979,2,False,30671.5181357541,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
963,980,2,False,25788.7469068521,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
1021,981,1,False,10826.2862254355,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1347,981,1,False,58328.5570763969,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
10176,6761,1,False,65189.726748,,,,False,,220
2084,6761,2,False,14013.461839,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
11907,6761,1,False,90544.906947,,,,False,,220
10168,6762,2,False,45268.795402,,,,False,,220
2090,6762,1,False,11285.336668,0,"220 kV Transmission Line Under Construction, 1 Circuit", ,False,1.0,220
1359,982,2,False,29761.8983527062,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
1035,982,1,False,14766.2864511102,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1357,983,1,False,49879.4415895937,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1031,983,1,False,61194.5790866556,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1030,983,2,False,171069.061467067,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
1001,983,1,False,197314.816355041,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1346,984,1,False,20934.5789782813,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1034,984,2,False,23910.2573305357,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
1032,985,1,False,33185.4174923999,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1039,985,1,False,25167.9821970559,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1174,985,1,False,25167.9821970562,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1008,986,1,False,34057.7035463344,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1011,986,1,False,26668.7108790545,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
994,986,1,False,31446.5235604281,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
625,987,1,False,15332.2546468698,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
993,987,1,False,18739.3736548348,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1016,988,1,False,45734.5307818841,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
997,988,1,False,28277.7107948416,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1020,988,1,False,28277.7107948416,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1015,989,1,False,58112.4491623854,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
1362,989,1,False,34846.0911364598,0,"220 kV Transmission Line, 1 Circuit", ,False,1.0,220
4,2,1,False,77701.030928,77701.030928,"380-400 kV Transmission Line, 1 Circuit",0,False,1.0,380
1018,991,2,False,34526.4396141883,0,"220 kV Transmission Line, 2 Circuits", ,False,1.0,220
